shoulder_pan_angle,shoulder_lift_angle,elbow_angle,wrist1_angle,wrist2_angle,wrist3_angle
1.8641078472137451,-1.6018668613829554,-1.6979210376739502,-1.5276713234237214,1.6257563829421997,-0.057697598134176076
1.870854139328003,-1.6014915905394496,-1.6979477405548096,-1.5276487071863194,1.6258537769317627,-0.05750018755067998
1.8800007104873657,-1.6010452709593714,-1.6979674100875854,-1.5277059350958844,1.6258856058120728,-0.057383362446920216
1.8860796689987183,-1.600905557672018,-1.6981072425842285,-1.5277255338481446,1.6258926391601562,-0.05721027055849248
1.8918037414550781,-1.600823541680807,-1.6981581449508667,-1.527753860955574,1.6259208917617798,-0.057174030934469044
1.899019718170166,-1.6007396183409632,-1.6981399059295654,-1.5277824600091954,1.6259491443634033,-0.05703574815859014
1.9062168598175049,-1.6004616222777308,-1.6981945037841797,-1.5277898584357281,1.6259735822677612,-0.05679494539369756
1.9136414527893066,-1.6000501118102015,-1.6981065273284912,-1.5277975362590333,1.6259515285491943,-0.056542221699849904
1.9210838079452515,-1.5994283161559046,-1.6981065273284912,-1.527865045969822,1.625988483428955,-0.056223694478170216
1.9284424781799316,-1.5986596546568812,-1.6981017589569092,-1.5280135434916993,1.6260724067687988,-0.055904690419332326
1.9354727268218994,-1.5979272327818812,-1.6981819868087769,-1.5282056716135521,1.626242995262146,-0.055549446736471
1.9421366453170776,-1.5971538029112757,-1.6981275081634521,-1.5283616346171875,1.626369595527649,-0.055082146321431935
1.9480822086334229,-1.5964256725706996,-1.6981366872787476,-1.5285297383419056,1.626595377922058,-0.054615322743551076
1.9531515836715698,-1.5957261524596156,-1.698000431060791,-1.5286946345916768,1.62684965133667,-0.0541766325580042
1.9573581218719482,-1.5951014957823695,-1.6978518962860107,-1.5288013269058247,1.6271796226501465,-0.05377561250795537
1.960817575454712,-1.594494958917135,-1.6976550817489624,-1.5290307638100167,1.6278983354568481,-0.053443733845846
1.9636093378067017,-1.5940519771971644,-1.6976420879364014,-1.5292663288167496,1.6292390823364258,-0.053225342427388966
1.9658582210540771,-1.593666215936178,-1.6975922584533691,-1.529522543107607,1.631128191947937,-0.05301362672914678
1.9676251411437988,-1.5933309994139613,-1.6976478099822998,-1.529727042918541,1.6334123611450195,-0.052805725728170216
1.9688897132873535,-1.5929185352721156,-1.6976550817489624,-1.5298846562257786,1.6358762979507446,-0.052691284810201466
1.969556450843811,-1.5924741230406703,-1.6978893280029297,-1.5301229444197197,1.6382229328155518,-0.05257112184633428
1.9696359634399414,-1.5920263729491175,-1.6981998682022095,-1.530269944374897,1.6402846574783325,-0.052511040364400685
1.969068169593811,-1.5915051899352015,-1.6986167430877686,-1.5303615194610138,1.6420018672943115,-0.05235749879945928
1.9678887128829956,-1.5909487209715785,-1.699036955833435,-1.5304651384106656,1.6434656381607056,-0.052375618611471
1.9660009145736694,-1.5904470882811488,-1.6992751359939575,-1.5306027469090004,1.644567608833313,-0.052311245595113576
1.9633530378341675,-1.5898915729918421,-1.699307918548584,-1.5306165416589756,1.6455554962158203,-0.05225068727602178
1.9598362445831299,-1.5894996128477992,-1.6990834474563599,-1.530697801416256,1.6465095281600952,-0.052244011555806935
1.9551445245742798,-1.5891968212523402,-1.6983972787857056,-1.530747053479292,1.6472537517547607,-0.05226022401918584
1.9499493837356567,-1.589163442651266,-1.697554588317871,-1.5307861131480713,1.6478135585784912,-0.05215341249574834
1.9441735744476318,-1.5891829929747523,-1.6964343786239624,-1.530757700358965,1.6482092142105103,-0.05223590532411748
1.9371484518051147,-1.589304586450094,-1.69509756565094,-1.5306990829161187,1.6485002040863037,-0.052228752766744435
1.9290542602539062,-1.589388986627096,-1.693715214729309,-1.5304499429515381,1.648667573928833,-0.05213958421816045
1.9196665287017822,-1.5895492039122523,-1.6922060251235962,-1.5301096600345154,1.6487798690795898,-0.0521472136126917
1.9076895713806152,-1.589696546594137,-1.6906174421310425,-1.529746515010931,1.6488037109375,-0.05223113695253545
1.8974287509918213,-1.58990540126943,-1.6894347667694092,-1.5294811365059395,1.6487798690795898,-0.05244332948793584
1.8848294019699097,-1.5902778110899867,-1.6883127689361572,-1.52916897580538,1.6486096382141113,-0.0529707113849085
1.853193998336792,-1.5909935436644496,-1.6860660314559937,-1.5286125887981434,1.6475682258605957,-0.05463105836977178
1.8417019844055176,-1.5912748775877894,-1.685509204864502,-1.5285253313234826,1.6469587087631226,-0.055247131978170216
1.829158902168274,-1.5918165645995082,-1.6851258277893066,-1.5283857148936768,1.6463103294372559,-0.055865112935201466
